date,time,receipt_no,sales,rendered,change,payment_type
2026-08-01,06:03:05,0001,4.50,4.50,0.00,PayLah
2026-08-01,06:08:15,0002,6.00,10.00,4.00,Cash
2026-08-01,06:14:45,0003,5.00,5.00,0.00,Cash
2026-08-01,06:41:22,0004,3.00,3.00,0.00,PayLah
2026-08-01,07:08:57,0005,9.00,9.00,0.00,PayNow
2026-08-01,07:25:31,0006,5.50,10.00,4.50,Cash
2026-08-01,08:07:45,0007,5.50,5.50,0.00,PayNow
2026-08-01,08:12:43,0008,4.00,4.00,0.00,PayWave
2026-08-01,08:18:48,0009,5.00,5.00,0.00,Cash
2026-08-01,08:23:42,0010,6.00,6.00,0.00,Cash
2026-08-01,08:38:57,0011,7.50,7.50,0.00,PayNow
2026-08-01,08:43:27,0012,6.50,6.50,0.00,Cash
2026-08-01,09:12:52,0013,5.00,5.00,0.00,Cash
2026-08-01,09:22:55,0014,7.50,7.50,0.00,PayNow
2026-08-01,09:38:20,0015,3.00,5.00,2.00,Cash
2026-08-01,10:03:33,0016,5.50,5.50,0.00,PayWave
2026-08-01,10:12:38,0017,5.50,5.50,0.00,PayLah
2026-08-01,10:29:05,0018,7.00,7.00,0.00,PayNow
2026-08-01,10:30:40,0019,4.50,5.00,0.50,Cash
2026-08-01,11:20:45,0020,6.50,10.00,3.50,Cash
2026-08-01,11:22:31,0021,9.00,9.00,0.00,PayNow
2026-08-01,11:38:15,0022,3.00,3.00,0.00,PayNow
2026-08-01,11:57:01,0023,3.00,3.00,0.00,PayNow
2026-08-01,12:02:44,0024,4.50,4.50,0.00,PayNow
2026-08-01,13:08:32,0025,4.50,4.50,0.00,PayNow
2026-08-01,14:18:45,0026,9.00,9.00,0.00,PayNow
2026-08-01,14:47:04,0027,10.00,10.00,0.00,PayNow
2026-08-01,15:37:13,0028,6.50,6.50,0.00,PayNow
2026-08-01,16:11:42,0029,3.00,5.00,2.00,Cash
2026-08-01,17:06:59,0030,7.00,7.00,0.00,PayNow
2026-08-01,17:43:53,0031,5.00,5.00,0.00,PayNow
2026-08-01,18:06:34,0032,3.00,3.00,0.00,Cash
2026-08-01,18:24:31,0033,4.00,4.00,0.00,PayNow
2026-08-01,18:26:41,0034,3.00,3.00,0.00,PayNow
2026-08-01,18:40:28,0035,6.50,6.50,0.00,PayWave
2026-08-01,18:42:24,0036,6.50,6.50,0.00,PayWave
2026-08-01,18:46:40,0037,4.50,4.50,0.00,Cash
2026-08-01,19:03:44,0038,8.00,8.00,0.00,Cash
2026-08-01,19:25:30,0039,3.00,5.00,2.00,Cash
2026-08-01,19:52:26,0040,5.50,5.50,0.00,PayNow
2026-08-01,19:54:10,0041,6.00,10.00,4.00,Cash
2026-08-03,06:01:51,0001,5.50,10.00,4.50,Cash
2026-08-03,06:14:30,0002,9.00,10.00,1.00,Cash
2026-08-03,06:15:58,0003,6.00,6.00,0.00,PayNow
2026-08-03,07:18:27,0004,8.00,8.00,0.00,PayLah
2026-08-03,08:05:00,0005,3.00,3.00,0.00,Cash
2026-08-03,08:15:28,0006,4.00,4.00,0.00,Cash
2026-08-03,08:34:04,0007,5.00,5.00,0.00,PayLah
2026-08-03,08:52:02,0008,6.50,6.50,0.00,PayNow
2026-08-03,08:57:22,0009,6.00,10.00,4.00,Cash
2026-08-03,09:11:55,0010,6.50,6.50,0.00,PayWave
2026-08-03,09:15:11,0011,6.00,6.00,0.00,PayLah
2026-08-03,09:24:23,0012,7.00,7.00,0.00,PayNow
2026-08-03,09:26:31,0013,6.50,6.50,0.00,PayNow
2026-08-03,09:41:13,0014,7.00,7.00,0.00,PayNow
2026-08-03,09:48:37,0015,5.50,5.50,0.00,Cash
2026-08-03,09:58:20,0016,4.00,4.00,0.00,PayLah
2026-08-03,10:08:53,0017,3.50,3.50,0.00,PayNow
2026-08-03,10:19:17,0018,8.00,10.00,2.00,Cash
2026-08-03,10:39:02,0019,4.50,4.50,0.00,PayNow
2026-08-03,10:43:41,0020,6.50,6.50,0.00,PayLah
2026-08-03,12:09:24,0021,5.00,5.00,0.00,Cash
2026-08-03,12:47:25,0022,3.00,5.00,2.00,Cash
2026-08-03,13:04:39,0023,3.50,3.50,0.00,Cash
2026-08-03,13:36:56,0024,8.00,8.00,0.00,PayNow
2026-08-03,14:25:39,0025,7.00,10.00,3.00,Cash
2026-08-03,14:30:43,0026,8.00,10.00,2.00,Cash
2026-08-03,15:11:21,0027,5.00,5.00,0.00,Cash
2026-08-03,15:15:59,0028,4.50,4.50,0.00,PayNow
2026-08-03,15:50:24,0029,4.00,5.00,1.00,Cash
2026-08-03,16:34:24,0030,5.00,5.00,0.00,PayNow
2026-08-03,16:43:12,0031,7.00,7.00,0.00,PayNow
2026-08-03,16:46:54,0032,4.50,4.50,0.00,PayLah
2026-08-03,16:48:26,0033,3.50,3.50,0.00,Cash
2026-08-03,16:51:11,0034,4.00,5.00,1.00,Cash
2026-08-03,17:02:14,0035,4.50,4.50,0.00,Cash
2026-08-03,17:12:39,0036,8.00,10.00,2.00,Cash
2026-08-03,17:24:39,0037,6.00,6.00,0.00,PayNow
2026-08-03,17:33:22,0038,9.00,10.00,1.00,Cash
2026-08-03,18:12:41,0039,7.50,7.50,0.00,PayWave
2026-08-03,18:58:56,0040,8.00,8.00,0.00,PayNow
2026-08-03,19:04:50,0041,4.50,4.50,0.00,PayLah
2026-08-03,19:20:52,0042,9.00,9.00,0.00,PayNow
2026-08-03,19:30:50,0043,8.00,8.00,0.00,PayLah
2026-08-03,19:36:21,0044,5.00,5.00,0.00,Cash
2026-08-03,19:50:17,0045,5.00,5.00,0.00,Cash
2026-08-04,06:11:30,0001,9.00,9.00,0.00,PayWave
2026-08-04,06:45:38,0002,8.00,8.00,0.00,Cash
2026-08-04,08:38:22,0003,4.50,4.50,0.00,PayLah
2026-08-04,08:50:03,0004,5.00,5.00,0.00,Cash
2026-08-04,09:25:46,0005,4.50,4.50,0.00,PayLah
2026-08-04,09:43:48,0006,9.00,9.00,0.00,PayNow
2026-08-04,10:47:44,0007,6.00,10.00,4.00,Cash
2026-08-04,11:23:25,0008,4.50,4.50,0.00,PayWave
2026-08-04,11:30:41,0009,9.00,9.00,0.00,PayNow
2026-08-04,12:37:14,0010,6.00,6.00,0.00,PayNow
2026-08-04,12:38:28,0011,5.00,5.00,0.00,PayLah
2026-08-04,13:00:36,0012,8.00,10.00,2.00,Cash
2026-08-04,13:25:05,0013,5.50,10.00,4.50,Cash
2026-08-04,14:02:17,0014,5.50,10.00,4.50,Cash
2026-08-04,14:11:00,0015,4.00,5.00,1.00,Cash
2026-08-04,14:24:53,0016,4.00,4.00,0.00,PayLah
2026-08-04,15:28:34,0017,4.50,4.50,0.00,Cash
2026-08-04,15:42:05,0018,7.00,7.00,0.00,PayWave
2026-08-04,16:04:31,0019,4.50,4.50,0.00,PayNow
2026-08-04,17:33:39,0020,5.00,5.00,0.00,PayLah
2026-08-04,18:00:36,0021,8.00,8.00,0.00,PayNow
2026-08-04,18:18:20,0022,4.50,4.50,0.00,PayLah
2026-08-04,18:27:50,0023,5.50,10.00,4.50,Cash
2026-08-04,18:54:41,0024,8.00,10.00,2.00,Cash
2026-08-04,18:57:14,0025,10.00,10.00,0.00,PayWave
2026-08-04,19:07:25,0026,3.00,3.00,0.00,Cash
2026-08-04,19:22:52,0027,4.50,4.50,0.00,PayNow
2026-08-04,19:59:28,0028,8.00,8.00,0.00,PayWave
2026-08-05,07:41:50,0001,5.00,5.00,0.00,Cash
2026-08-05,07:55:51,0002,8.00,8.00,0.00,PayNow
2026-08-05,07:57:47,0003,7.00,7.00,0.00,PayNow
2026-08-05,08:03:14,0004,5.00,5.00,0.00,PayNow
2026-08-05,08:18:02,0005,6.00,10.00,4.00,Cash
2026-08-05,09:55:57,0006,5.50,5.50,0.00,PayNow
2026-08-05,10:01:00,0007,4.00,4.00,0.00,PayNow
2026-08-05,10:36:09,0008,4.00,4.00,0.00,PayLah
2026-08-05,10:53:48,0009,8.00,8.00,0.00,PayNow
2026-08-05,11:05:46,0010,7.00,7.00,0.00,PayLah
2026-08-05,11:09:59,0011,3.00,3.00,0.00,Cash
2026-08-05,11:10:43,0012,4.50,4.50,0.00,PayNow
2026-08-05,11:38:08,0013,8.00,8.00,0.00,Cash
2026-08-05,11:39:35,0014,6.00,10.00,4.00,Cash
2026-08-05,11:42:42,0015,6.50,6.50,0.00,PayNow
2026-08-05,11:52:00,0016,4.50,4.50,0.00,Cash
2026-08-05,11:58:01,0017,8.00,8.00,0.00,PayWave
2026-08-05,12:15:06,0018,3.00,3.00,0.00,Cash
2026-08-05,12:51:19,0019,8.00,8.00,0.00,Cash
2026-08-05,13:09:58,0020,10.00,10.00,0.00,PayNow
2026-08-05,13:45:15,0021,9.00,9.00,0.00,Cash
2026-08-05,13:47:28,0022,6.50,6.50,0.00,PayNow
2026-08-05,14:04:06,0023,7.00,7.00,0.00,PayNow
2026-08-05,14:40:14,0024,4.00,4.00,0.00,PayNow
2026-08-05,14:50:27,0025,5.00,5.00,0.00,Cash
2026-08-05,14:51:06,0026,7.00,7.00,0.00,PayWave
2026-08-05,15:02:23,0027,6.50,6.50,0.00,PayWave
2026-08-05,15:28:23,0028,8.00,8.00,0.00,Cash
2026-08-05,15:32:15,0029,7.50,10.00,2.50,Cash
2026-08-05,15:35:43,0030,8.50,8.50,0.00,Cash
2026-08-05,15:45:04,0031,8.00,10.00,2.00,Cash
2026-08-05,16:00:32,0032,7.00,7.00,0.00,PayLah
2026-08-05,16:01:04,0033,3.00,3.00,0.00,Cash
2026-08-05,16:04:55,0034,8.00,8.00,0.00,Cash
2026-08-05,16:05:48,0035,5.00,5.00,0.00,PayWave
2026-08-05,16:28:15,0036,5.00,5.00,0.00,PayWave
2026-08-05,16:42:21,0037,6.50,6.50,0.00,PayNow
2026-08-05,17:21:47,0038,7.00,7.00,0.00,Cash
2026-08-05,17:22:09,0039,5.50,5.50,0.00,Cash
2026-08-05,18:09:28,0040,3.00,3.00,0.00,Cash
2026-08-05,18:59:09,0041,4.00,5.00,1.00,Cash
2026-08-05,19:04:02,0042,6.00,6.00,0.00,PayLah
2026-08-05,19:14:31,0043,8.00,10.00,2.00,Cash
2026-08-05,19:19:35,0044,4.50,5.00,0.50,Cash
2026-08-05,19:24:33,0045,5.00,5.00,0.00,PayNow
2026-08-06,06:03:34,0001,7.00,7.00,0.00,Cash
2026-08-06,06:20:47,0002,5.00,5.00,0.00,Cash
2026-08-06,06:26:12,0003,4.50,4.50,0.00,PayNow
2026-08-06,06:37:39,0004,6.00,6.00,0.00,PayNow
2026-08-06,07:01:18,0005,8.00,8.00,0.00,PayNow
2026-08-06,07:40:05,0006,8.00,8.00,0.00,Cash
2026-08-06,07:45:01,0007,6.50,6.50,0.00,Cash
2026-08-06,07:51:15,0008,9.00,10.00,1.00,Cash
2026-08-06,08:32:59,0009,8.00,8.00,0.00,PayLah
2026-08-06,08:48:15,0010,6.00,6.00,0.00,PayWave
2026-08-06,08:52:31,0011,7.50,7.50,0.00,PayNow
2026-08-06,09:18:16,0012,10.00,10.00,0.00,PayWave
2026-08-06,09:19:29,0013,4.00,4.00,0.00,Cash
2026-08-06,09:28:08,0014,10.00,10.00,0.00,PayNow
2026-08-06,09:30:28,0015,5.00,5.00,0.00,PayNow
2026-08-06,09:31:08,0016,6.00,10.00,4.00,Cash
2026-08-06,10:14:05,0017,4.00,4.00,0.00,Cash
2026-08-06,10:20:12,0018,7.00,10.00,3.00,Cash
2026-08-06,10:29:08,0019,8.50,8.50,0.00,PayWave
2026-08-06,10:42:55,0020,6.50,10.00,3.50,Cash
2026-08-06,10:59:39,0021,8.00,8.00,0.00,PayLah
2026-08-06,11:18:58,0022,6.00,6.00,0.00,PayLah
2026-08-06,11:23:39,0023,5.00,5.00,0.00,Cash
2026-08-06,11:25:11,0024,5.50,5.50,0.00,PayLah
2026-08-06,11:54:27,0025,3.00,3.00,0.00,PayNow
2026-08-06,12:00:49,0026,3.00,3.00,0.00,Cash
2026-08-06,12:12:44,0027,10.00,10.00,0.00,PayNow
2026-08-06,12:20:08,0028,5.50,10.00,4.50,Cash
2026-08-06,12:29:11,0029,4.50,4.50,0.00,Cash
2026-08-06,12:46:23,0030,3.00,3.00,0.00,PayLah
2026-08-06,12:53:42,0031,8.50,10.00,1.50,Cash
2026-08-06,13:36:40,0032,6.00,6.00,0.00,Cash
2026-08-06,13:49:13,0033,5.00,5.00,0.00,PayWave
2026-08-06,13:55:34,0034,6.00,6.00,0.00,PayLah
2026-08-06,14:26:03,0035,4.00,5.00,1.00,Cash
2026-08-06,14:29:23,0036,8.00,8.00,0.00,PayLah
2026-08-06,16:03:55,0037,5.50,5.50,0.00,Cash
2026-08-06,16:11:53,0038,6.00,6.00,0.00,Cash
2026-08-06,16:35:13,0039,5.00,5.00,0.00,PayNow
2026-08-06,16:57:11,0040,4.00,5.00,1.00,Cash
2026-08-06,17:14:23,0041,9.00,9.00,0.00,PayNow
2026-08-06,17:18:07,0042,5.00,5.00,0.00,Cash
2026-08-06,17:30:57,0043,4.50,4.50,0.00,PayLah
2026-08-06,17:44:50,0044,7.00,7.00,0.00,PayLah
2026-08-06,18:34:46,0045,6.50,6.50,0.00,PayNow
2026-08-06,18:46:33,0046,5.50,5.50,0.00,PayWave
2026-08-06,18:47:43,0047,6.00,6.00,0.00,PayNow
